observation_date,FDHBFIN
1970-01-01,19.7
1971-01-01,46.0
1972-01-01,54.4
1973-01-01,54.7
1974-01-01,58.8
1975-01-01,66.5
1976-01-01,78.1
1977-01-01,109.6
1978-01-01,133.1
1979-01-01,119.0
1980-01-01,129.7
1981-01-01,136.6
1982-01-01,149.5
1983-01-01,166.3
1984-01-01,192.9
1985-01-01,224.8
1986-01-01,263.4
1987-01-01,299.7
1988-01-01,362.2
1989-01-01,426.1
1990-01-01,487.1
1991-01-01,520.9
1992-01-01,576.7
1993-01-01,650.3
1994-01-01,667.3
1995-01-01,835.2
1996-01-01,1102.1
1997-01-01,1241.6
1998-01-01,1278.7
1999-01-01,1268.7
2000-01-01,1015.2
2001-01-01,1040.1
2002-01-01,1235.6
2003-01-01,1523.1
2004-01-01,1849.3
2005-01-01,2034.0
2006-01-01,2103.1
2007-01-01,2353.2
2008-01-01,3077.2
2009-01-01,3685.1
2010-01-01,4435.6
2011-01-01,5006.9
2012-01-01,5573.8
2013-01-01,5792.6
2014-01-01,6157.7
2015-01-01,6144.2
2016-01-01,6002.8
2017-01-01,6211.3
2018-01-01,6270.1
2019-01-01,6844.2
2020-01-01,7070.7
2021-01-01,7740.4
2022-01-01,7194.7
2023-01-01,7940.0
2024-01-01,8619.6
