observation_date,A922RC1A027NBEA
1950-01-01,2.196
1951-01-01,6.101
1952-01-01,-0.242
1953-01-01,-1.830
1954-01-01,-5.956
1955-01-01,1.612
1956-01-01,4.392
1957-01-01,0.027
1958-01-01,-10.880
1959-01-01,-1.817
1960-01-01,2.674
1961-01-01,-2.535
1962-01-01,-2.318
1963-01-01,1.117
1964-01-01,-2.972
1965-01-01,-1.851
1966-01-01,-2.261
1967-01-01,-15.517
1968-01-01,-10.299
1969-01-01,-2.025
1970-01-01,-33.374
1971-01-01,-52.180
1972-01-01,-42.939
1973-01-01,-32.723
1974-01-01,-43.672
1975-01-01,-108.649
1976-01-01,-85.338
1977-01-01,-72.932
1978-01-01,-57.187
1979-01-01,-48.583
1980-01-01,-94.682
1981-01-01,-98.239
1982-01-01,-190.113
1983-01-01,-225.614
1984-01-01,-196.697
1985-01-01,-201.650
1986-01-01,-219.913
1987-01-01,-180.101
1988-01-01,-171.256
1989-01-01,-178.705
1990-01-01,-239.547
1991-01-01,-308.546
1992-01-01,-405.573
1993-01-01,-386.150
1994-01-01,-319.860
1995-01-01,-312.946
1996-01-01,-233.613
1997-01-01,-134.400
1998-01-01,-29.322
1999-01-01,29.468
2000-01-01,118.211
2001-01-01,-104.748
2002-01-01,-451.424
2003-01-01,-579.410
2004-01-01,-543.294
2005-01-01,-397.441
2006-01-01,-307.899
2007-01-01,-390.026
2008-01-01,-846.998
2009-01-01,-1585.470
2010-01-01,-1627.314
2011-01-01,-1511.183
2012-01-01,-1357.481
2013-01-01,-899.947
2014-01-01,-831.574
2015-01-01,-774.000
2016-01-01,-909.461
2017-01-01,-961.639
2018-01-01,-1106.249
2019-01-01,-1249.591
2020-01-01,-2995.581
2021-01-01,-2618.368
2022-01-01,-936.224
2023-01-01,-1844.528
2024-01-01,-2053.168
