observation_date,INDIRLTLT01STQ
2012-01-01,8.2666666666666657
2012-04-01,8.4499999999999993
2012-07-01,8.1599999999999984
2012-10-01,8.1633333333333340
2013-01-01,7.8733333333333340
2013-04-01,7.5766666666666671
2013-07-01,8.2166666666666668
2013-10-01,8.7700000000000014
2014-01-01,8.8033333333333328
2014-04-01,8.7900000000000009
2014-07-01,8.5700000000000003
2014-10-01,8.1833333333333336
2015-01-01,7.7800000000000002
2015-04-01,7.8333333333333313
2015-07-01,7.7800000000000002
2015-10-01,7.7133333333333347
2016-01-01,7.6566666666666654
2016-04-01,7.4066666666666654
2016-07-01,7.1166666666666654
2016-10-01,6.6400000000000015
2017-01-01,6.9633333333333347
2017-04-01,6.9500000000000002
2017-07-01,6.6233333333333322
2017-10-01,7.1533333333333324
2018-01-01,7.4666666666666659
2018-04-01,7.7800000000000002
2018-07-01,7.8799999999999999
2018-10-01,7.6900000000000004
2019-01-01,7.3966666666666674
2019-04-01,7.2399999999999984
2019-07-01,6.6766666666666659
2019-10-01,6.6733333333333329
2020-01-01,6.7266666666666675
2020-04-01,6.1833333333333345
2020-07-01,5.9466666666666654
2020-10-01,5.9100000000000001
2021-01-01,6.1600000000000001
2021-04-01,6.2599999999999998
2021-07-01,6.2266666666666701
2021-10-01,6.3833333333333293
2022-01-01,6.7366666666666672
2022-04-01,7.3433333333333293
2022-07-01,7.3166666666666655
2022-10-01,7.3700000000000001
2023-01-01,7.3599999999999985
2023-04-01,7.0800000000000001
2023-07-01,7.1533333333333324
2023-10-01,7.2800000000000002
2024-01-01,7.1200000000000001
