observation_date,IRLTLT01JPA156N
1989-01-01,5.12725000000000009
1990-01-01,6.95991666666666031
1991-01-01,6.33666666666667044
1992-01-01,5.32658333333332923
1993-01-01,4.32091666666667074
1994-01-01,4.36333333333332973
1995-01-01,3.44349999999999978
1996-01-01,3.10150000000000015
1997-01-01,2.37366666666666992
1998-01-01,1.54141666666666977
1999-01-01,1.74900000000000011
2000-01-01,1.74441666666666984
2001-01-01,1.31899999999999995
2002-01-01,1.26316666666667010
2003-01-01,1.00324999999999998
2004-01-01,1.49266666666666992
2005-01-01,1.35474999999999990
2006-01-01,1.74049999999999994
2007-01-01,1.66549999999999998
2008-01-01,1.46733333333333005
2009-01-01,1.33374999999999999
2010-01-01,1.14833333333333010
2011-01-01,1.10241666666666993
2012-01-01,0.83558333333333301
2013-01-01,0.68966666666666698
2014-01-01,0.52033333333333287
2015-01-01,0.34999999999999998
2016-01-01,-0.06625000000000000
2017-01-01,0.05166666666666670
2018-01-01,0.06500000000000000
2019-01-01,-0.11041666666666700
2020-01-01,-0.00541666666666660
2021-01-01,0.07166666666666670
2022-01-01,0.23166666666666691
2023-01-01,0.56250000000000011
2024-01-01,0.91833333333333345
